designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Data Analyst,EXL,"10,001+ employees","919,403 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 32,982 on LinkedIn"
Data Analyst,Egnyte,"501-1,000 employees","146,462 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 2 weeks ago · Over 100 applicants,India,"Software Development 501-1,000 employees 1,123 on LinkedIn"
Data Analyst,Aryng,11-50 employees,"38,514 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · 1 month ago · Over 100 applicants","Hyderabad, Telangana, India",Business Consulting and Services 11-50 employees 29 on LinkedIn
Data Analyst,Aryng,11-50 employees,"38,514 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · 1 week ago · Over 100 applicants,Mumbai Metropolitan Region,Business Consulting and Services 11-50 employees 29 on LinkedIn
Data Analyst / Data Administrator,Sheffield Haworth,201-500 employees,"68,301 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 2 days ago · Over 100 applicants,India,Business Consulting and Services 201-500 employees 214 on LinkedIn
Data Analyst I,6sense,"1,001-5,000 employees","83,458 followers",Entry level,"Pune, Maharashtra, India · Reposted 1 week ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 1,001-5,000 employees 1,489 on LinkedIn"
Remote Python Developer,Turing,"501-1,000 employees","357,751 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · Reposted 2 days ago · 76 applicants","Delhi, Delhi, India","IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Junior Data Engineer,5X,51-200 employees,"14,908 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Kolkata Area · 1 month ago · Over 100 applicants,Greater Kolkata Area,Data Infrastructure and Analytics 51-200 employees 91 on LinkedIn
Data Analyst II,6sense,"1,001-5,000 employees","83,458 followers",Entry level,"Pune, Maharashtra, India · 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 1,001-5,000 employees 1,489 on LinkedIn"
Tableau Analyst,Claroty,"501-1,000 employees","42,318 followers","Full-time
Matches your job preferences, job type is Full-time.","Mumbai, Maharashtra, India · 1 week ago · Over 100 applicants","Mumbai, Maharashtra, India","Computer and Network Security 501-1,000 employees 573 on LinkedIn"
Software Engineer - Data Scientist,Johnson Controls,"10,001+ employees","1,394,345 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · 76 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 64,717 on LinkedIn"
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Kolkata Area · 2 months ago · 61 applicants,Greater Kolkata Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Chennai Area · 4 months ago · 49 applicants,Greater Chennai Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Data Analyst III,6sense,"1,001-5,000 employees","83,458 followers",Mid-Senior level,"Pune, Maharashtra, India · Reposted 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 1,001-5,000 employees 1,489 on LinkedIn"
Data Analyst,Acme Services,"501-1,000 employees","376,303 followers","Full-time
Matches your job preferences, job type is Full-time.","Madha, Maharashtra, India · 2 weeks ago · Over 100 applicants","Madha, Maharashtra, India","Human Resources Services 501-1,000 employees 570 on LinkedIn"
Data Engineer,Eaton,"10,001+ employees","1,589,158 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Appliances, Electrical, and Electronics Manufacturing 10,001+ employees 47,005 on LinkedIn"
Data Science Engineer 1,Emerson,"10,001+ employees","1,135,483 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 2 days ago · Over 100 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 46,113 on LinkedIn"
Software Engineer - Data Scientist,Johnson Controls,"10,001+ employees","1,394,345 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 day ago · Over 100 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 64,717 on LinkedIn"
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Hyderabad Area · 2 months ago · 53 applicants,Greater Hyderabad Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Data Science Analyst (Python),Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · 2 months ago · 57 applicants,Mumbai Metropolitan Region,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
