designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Credit Business Risk Manager,Revolut,"5,001-10,000 employees","974,202 followers",Full-time,India · Reposted 2 weeks ago · Over 100 applicants,India,Column1
Relationship Manager-Motor Insurance,YO HR Consultancy,11-50 employees,"136,986 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 months ago · Over 100 applicants,India,"Financial Services 5,001-10,000 employees 13,941 on LinkedIn"
Support Specialist (Phone),Revolut,"5,001-10,000 employees","974,202 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 3 weeks ago · Over 100 applicants,India,Business Consulting and Services 11-50 employees 20 on LinkedIn
"Associate II, Import/Export",Thermo Fisher Scientific,"10,001+ employees","1,551,271 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 days ago · Over 100 applicants,India,"Financial Services 5,001-10,000 employees 13,941 on LinkedIn"
Onsite Associate,noon,"5,001-10,000 employees","1,437,273 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,"Biotechnology Research 10,001+ employees 94,068 on LinkedIn"
[Part Time] [Urgent] Rummy Game Players,TripsyGames,2-10 employees,"3,199 followers",Contract,India · 3 days ago · Over 100 applicants,India,"Retail 5,001-10,000 employees 22,138 on LinkedIn"
Customer Service Manager,Understanding Recruitment,51-200 employees,"402,772 followers","Full-time
Matches your job preferences, job type is Full-time.",APAC · 14 hours ago · Over 100 applicants,APAC,Mobile Gaming Apps 2-10 employees 6 on LinkedIn
Executive - Terminal Operations - Rail & Inland Terminals - Hyderabad,DP World,"10,001+ employees","1,220,640 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 day ago · Over 100 applicants,India,Staffing and Recruiting 51-200 employees 99 on LinkedIn
Data Analyst,Lotus Interworks,201-500 employees,"231,030 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 13 hours ago · Over 100 applicants,India,"Transportation, Logistics, Supply Chain and Storage 10,001+ employees 31,185 on LinkedIn"
Associate,PW (PhysicsWallah),"5,001-10,000 employees","589,282 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 3 weeks ago · Over 100 applicants,India,Software Development 201-500 employees 261 on LinkedIn
Personalized Internet Assessor India - Kannada Language,TELUS International,"10,001+ employees","494,668 followers",Internship,India · Reposted 2 days ago · Over 100 applicants,India,"E-Learning Providers 5,001-10,000 employees 14,215 on LinkedIn"
Teammate,TaskUs,"10,001+ employees","280,004 followers","Full-time
Matches your job preferences, job type is Full-time.",India · Reposted 3 days ago · Over 100 applicants,India,"IT Services and IT Consulting 10,001+ employees 34,576 on LinkedIn"
Vendor Management Coordinator,Cision,"1,001-5,000 employees","92,228 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 1 week ago · Over 100 applicants,India,"Outsourcing and Offshoring Consulting 10,001+ employees 28,337 on LinkedIn"
Procurement Specialist,Wishup.co,201-500 employees,"95,551 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 4 hours ago · 6 applicants,India,"Public Relations and Communications Services 1,001-5,000 employees 3,858 on LinkedIn"
,,,,,,,Business Consulting and Services 201-500 employees 327 on LinkedIn
