designation,comapany,employeecount,followers,level,totalapplicants,location,industry
"Data Scientist, Product, Support Platform Data Science",Google,"10,001+ employees","33,254,803 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · Reposted 2 weeks ago · Over 100 applicants","Hyderabad, Telangana, India","Software Development 10,001+ employees 286,674 on LinkedIn"
Data Analytics Intern,Unified Mentor,51-200 employees,"42,046 followers",Internship,India · 2 hours ago · 4 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Data Analyst,Creditsafe Technology,51-200 employees,"49,617 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · 21 hours ago · Over 100 applicants","Hyderabad, Telangana, India",IT Services and IT Consulting 51-200 employees 206 on LinkedIn
Trainee Data Analyst,Sanofi,"10,001+ employees","4,010,275 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · Reposted 1 hour ago · 36 applicants","Hyderabad, Telangana, India","Pharmaceutical Manufacturing 10,001+ employees 86,381 on LinkedIn"
PowerBI Developer(B2C),DAZN,"1,001-5,000 employees","178,720 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · 2 weeks ago · Over 100 applicants","Hyderabad, Telangana, India","Spectator Sports 1,001-5,000 employees 3,068 on LinkedIn"
Python Developers,"Infosoft, Inc.",201-500 employees,"25,694 followers","Full-time
Matches your job preferences, job type is Full-time.",India · 7 hours ago · Over 100 applicants,India,Staffing and Recruiting 201-500 employees 185 on LinkedIn
Junior Software Engineer,avua,51-200 employees,"214,947 followers","Full-time
Matches your job preferences, job type is Full-time.",APAC · 3 hours ago · Over 100 applicants,APAC,"Technology, Information and Internet 51-200 employees 32 on LinkedIn"
"Product Manager, Innovative Assets, Branded Markets CoE",Dr. Reddy's Laboratories,"10,001+ employees","1,163,113 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · 3 weeks ago · Over 100 applicants","Hyderabad, Telangana, India","Pharmaceutical Manufacturing 10,001+ employees 26,241 on LinkedIn"
Data Analytics Intern,Unified Mentor,51-200 employees,"42,046 followers",Internship,India · 2 hours ago · 6 applicants,India,E-Learning Providers 51-200 employees 322 on LinkedIn
Python Application Developer,Tata Consultancy Services,"10,001+ employees","15,234,011 followers","Full-time
Matches your job preferences, job type is Full-time.","Hyderabad, Telangana, India · 1 week ago · Over 100 applicants","Hyderabad, Telangana, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
