designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Quality Assurance Lead,BenchPoint,2-10 employees,"7,939 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 month ago · Over 100 applicants","Pune, Maharashtra, India",Staffing and Recruiting 2-10 employees 3 on LinkedIn
DevSecOps,UBS,"10,001+ employees","1,555,752 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Financial Services 10,001+ employees 81,619 on LinkedIn"
MBSE CAMEO,Tata Technologies,"10,001+ employees","1,857,041 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 14,522 on LinkedIn"
Automation Technician,Tata Consultancy Services,"10,001+ employees","15,234,235 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
"Risk Specialist II, TERA (Travel & Expense Reimbursement)",Amazon,"10,001+ employees","31,252,654 followers",Mid-Senior level,"Pune, Maharashtra, India · Reposted 2 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 10,001+ employees 737,347 on LinkedIn"
Lead Consultant,Birlasoft,"10,001+ employees","556,050 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 14,330 on LinkedIn"
Senior Business Analyst - TD,EY,"10,001+ employees","8,972,252 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Professional Services 10,001+ employees 350,849 on LinkedIn"
Associate Engineer,Deutsche Bank,"10,001+ employees","2,434,942 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 days ago · 43 applicants","Pune, Maharashtra, India","Financial Services 10,001+ employees 71,078 on LinkedIn"
Deputy manager,Schneider Electric,"10,001+ employees","4,257,203 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · Over 100 applicants","Pune, Maharashtra, India","Automation Machinery Manufacturing 10,001+ employees 81,425 on LinkedIn"
Mobile Device Management SME,Tata Consultancy Services,"10,001+ employees","15,234,238 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · 80 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 595,486 on LinkedIn"
Return to Career - India,Baker Hughes,"10,001+ employees","2,391,925 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 week ago · 46 applicants","Pune, Maharashtra, India","Oil and Gas 10,001+ employees 64,422 on LinkedIn"
Lead Systems Engineer,Philips,"10,001+ employees","2,461,357 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 2 days ago · Over 100 applicants","Pune, Maharashtra, India","Hospitals and Health Care 10,001+ employees 69,546 on LinkedIn"
Implementation Manager,Ericsson,"10,001+ employees","2,005,078 followers",NA,"Pune, Maharashtra, India · 2 weeks ago · 56 applicants","Pune, Maharashtra, India","Telecommunications 10,001+ employees 108,137 on LinkedIn"
Team Leader,Michelin,"10,001+ employees","827,967 followers",NA,"Pune, Maharashtra, India · 5 days ago · 46 applicants","Pune, Maharashtra, India","Motor Vehicle Manufacturing 10,001+ employees 46,022 on LinkedIn"
Senior Associate,PwC India,"10,001+ employees","1,601,545 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 4 days ago · 26 applicants","Pune, Maharashtra, India","Business Consulting and Services 10,001+ employees 23,095 on LinkedIn"
